Series,Season,Episode,Arc,Title,Notes
The Acolyte,1,1,,Lost / Found,
The Acolyte,1,2,,Revenge / Justice,
The Acolyte,1,3,,Destiny,
The Acolyte,1,4,,Day,
The Acolyte,1,5,,Night,
The Acolyte,1,6,,Teach / Corrupt,
The Acolyte,1,7,,Choice,
The Acolyte,1,8,,The Acolyte,
Tales of the Jedi,1,2,,Justice,
Tales of the Jedi,1,3,,Choices,
,,,,Star Wars: Episode 1 - The Phantom Menace,
Tales of the Jedi,1,4,,The Sith Lord,
Tales of the Underworld,1,4,,The Good Life,
Tales of the Underworld,1,5,,A Good Turn,
Tales of the Underworld,1,6,,One Good Deed,
,,,,Star Wars: Episode 2 - Attack of the Clones,
Tales of the Jedi,1,1,,Life and death,Optional: baby ahsoka
Clone Wars,2,16,1,Cat and Mouse,
Clone Wars,1,16,1,Hidden Enemy,
,,,,The Clone Wars Theatrical Release,
Clone Wars,3,1,2,Clone Cadets,
Clone Wars,3,3,3,Supply Lines ,Warning: JarJar -ish
Clone Wars,1,1,3,Ambush,
Clone Wars,1,2,4,Rising Malevolence,
Clone Wars,1,3,4,Shadow of Malevolence,
Clone Wars,1,4,4,Destroy Malevolence,
Clone Wars,1,5,5,Rookies,
Clone Wars,1,6,6,Downfall of a Droid ,Optional: Droid (R2)
Clone Wars,1,7,6,Duel of the Droids,Optional: Droid (R2)
Clone Wars,1,8,7,Bombad Jedi,Skip: JarJar
Clone Wars,1,9,7,Cloak of Darkness,
Clone Wars,1,10,7,Lair of Grievous,
Clone Wars,1,11,8,Dooku Captured,
Clone Wars,1,12,8,The Gungan General,
Clone Wars,1,13,9,Jedi Crash,
Clone Wars,1,14,9,Defenders of Peace,
Clone Wars,1,15,10,Trespass,
Clone Wars,1,17,11,Blue Shadow Virus,
Clone Wars,1,18,11,Mystery of a Thousand Moons,
Clone Wars,1,19,12,Storm over Ryloth,
Clone Wars,1,20,12,Innocents of Ryloth,
Clone Wars,1,21,12,Liberty on Ryloth,
Clone Wars,2,1,13,Holocron Heist,
Clone Wars,2,2,13,Cargo of Doom,
Clone Wars,2,3,13,Children of the Force,
Clone Wars,2,17,14,Bounty Hunters,
Clone Wars,2,18,15,The Zillo Beast,
Clone Wars,2,19,15,The Zillo Beast Strikes Back,
Clone Wars,2,4,16,Senate Spy,Optional: Padme&Clovis 
Clone Wars,2,5,17,Landing at Point Rain,
Clone Wars,2,6,17,Weapons Factory,
Clone Wars,2,7,17,Legacy of Terror,
Clone Wars,2,8,17,Brain Invaders,
Clone Wars,2,9,18,Grievous Intrigue,
Clone Wars,2,10,18,The Deserter,
Clone Wars,2,11,19,Lightsaber Lost ,Optional: Ahsoka side quest
Clone Wars,2,12,20,The Mandalore Plot,
Clone Wars,2,13,20,Voyage of Temptation,
Clone Wars,2,14,20,Duchess of Mandalore,
Clone Wars,2,20,21,Death Trap,
Clone Wars,2,21,21,R2 Come Home,
Clone Wars,2,22,21,Lethal Trackdown,
Clone Wars,3,5,22,Corruption,
Clone Wars,3,6,22,The Academy,
Clone Wars,3,7,23,Assassin,
Clone Wars,3,2,24,ARC Troopers,
Clone Wars,3,4,25,Sphere of Influence,
Clone Wars,3,8,26,Evil Plans,Skip: Droid (R2 & C3PO)
Clone Wars,1,22,26,Hostage Crisis,
Clone Wars,3,9,26,Hunt for Ziro,
Clone Wars,3,10,27,Heroes on Both Side,
Clone Wars,3,11,27,Pursuit of Peace,
Clone Wars,2,15,27,Senate Murders,
Clone Wars,3,12,28,Nightsisters,
Clone Wars,3,13,28,Monster,
Clone Wars,3,14,28,Witches of the Mist,
Clone Wars,3,15,29,Overlords,
Clone Wars,3,16,29,Altar of Mortis,
Clone Wars,3,17,29,Ghosts of Mortis,
Clone Wars,3,18,30,The Citadel,
Clone Wars,3,19,30,Counter Attack,
Clone Wars,3,20,30,Citadel Rescue,
Clone Wars,3,21,31,Padawan Lost,
Clone Wars,3,22,31,Wookiee Hunt,
Clone Wars,4,1,32,Water War,Optional: Side Quest (Fish Prince gets invaded)
Clone Wars,4,2,32,Gungan Attack,Optional: Side Quest (Fish Prince gets invaded)
Clone Wars,4,3,32,Prisoners,Optional: Side Quest (Fish Prince gets invaded)
Clone Wars,4,4,33,Shadow Warrior,
Clone Wars,4,5,34,Mercy Mission,Skip: Droid (R2 & C3PO)
Clone Wars,4,6,34,Nomad Droids,Skip: Droid (R2 & C3PO)
Clone Wars,4,7,35,Darkness on Umbara,
Clone Wars,4,8,35,The General,
Clone Wars,4,9,35,Plan of Dissent,
Clone Wars,4,10,35,Carnage of Krell,
Clone Wars,4,11,36,Kidnapped,
Clone Wars,4,12,36,Slaves of the Republic,
Clone Wars,4,13,36,Escape from Kadavo,
Clone Wars,4,14,37,A Friend In Need,
Clone Wars,4,15,38,Deception,
Clone Wars,4,16,38,Friends and Enemies,
Clone Wars,4,17,38,The Box,
Clone Wars,4,18,38,Crisis on Naboo,
Clone Wars,4,19,39,Massacre,
Clone Wars,4,20,39,Bounty,
Clone Wars,4,21,40,Brothers,
Clone Wars,4,22,40,Revenge,
Clone Wars,5,2,41,A War on Two Fronts,
Clone Wars,5,3,41,Front Runners,
Clone Wars,5,4,41,The Soft War,
Clone Wars,5,5,41,Tipping Points,
Clone Wars,5,6,42,The Gathering,Semi-Optional: Younglings (kyber cave)
Clone Wars,5,7,42,A Test of Strength,"Semi-Optional: Younglings, Ahsoka & Huyang, and pirates"
Clone Wars,5,8,42,Bound for Rescue,Semi-Optional: Youngling rescue Ahsoka (bonus grievous/Kenobi fights)
